التاريخ,الفرع,الرصيد (بالدرهم)
2023-01-31,فاس - النرجس,8335648.16
2023-02-01,الدار البيضاء - المركز الرئيسي,8043297.82
2023-02-01,الرباط - أكدال,7177446.68
2023-02-01,مراكش - جليز,7751783.83
2023-02-01,طنجة - وسط المدينة,10868090.63
2023-02-01,فاس - النرجس,10458570.4
2023-02-02,الدار البيضاء - المركز الرئيسي,10866877.93
2023-02-02,الرباط - أكدال,10731594.7
2023-02-02,مراكش - جليز,10741837.48
2023-02-02,طنجة - وسط المدينة,6366975.3
2023-02-02,فاس - النرجس,6294774.22
2023-02-03,الدار البيضاء - المركز الرئيسي,11852128.23
2023-02-03,الرباط - أكدال,7344563.41
2023-02-03,مراكش - جليز,11363053.91
2023-02-03,طنجة - وسط المدينة,5124883.13
2023-02-03,فاس - النرجس,9241466.24
2023-02-04,الدار البيضاء - المركز الرئيسي,6729991.66
2023-02-04,الرباط - أكدال,6560997.05
2023-02-04,مراكش - جليز,5510503.18
2023-02-04,طنجة - وسط المدينة,8898600.07
2023-02-04,فاس - النرجس,8865727.79
2023-02-05,الدار البيضاء - المركز الرئيسي,9285271.8
2023-02-05,الرباط - أكدال,6669504.04
2023-02-05,مراكش - جليز,4581767.48
2023-02-05,طنجة - وسط المدينة,4273688.85
2023-02-05,فاس - النرجس,4345249.19
2023-02-06,الدار البيضاء - المركز الرئيسي,12972661.84
2023-02-06,الرباط - أكدال,6402071.92
2023-02-06,مراكش - جليز,8434763.35
2023-02-06,طنجة - وسط المدينة,5650934.62
2023-02-06,فاس - النرجس,8101840.61
2023-02-07,الدار البيضاء - المركز الرئيسي,4888896.33
2023-02-07,الرباط - أكدال,7791850.53
2023-02-07,مراكش - جليز,4757198.58
2023-02-07,طنجة - وسط المدينة,4604266.3
2023-02-07,فاس - النرجس,8002059.73
2023-02-08,الدار البيضاء - المركز الرئيسي,6819728.05
2023-02-08,الرباط - أكدال,9206150.17
2023-02-08,مراكش - جليز,6053814.74
2023-02-08,طنجة - وسط المدينة,10966419.86
2023-02-08,فاس - النرجس,7704423.74
2023-02-09,الدار البيضاء - المركز الرئيسي,6477983.37
2023-02-09,الرباط - أكدال,10001711.06
2023-02-09,مراكش - جليز,11529033.75
2023-02-09,طنجة - وسط المدينة,4174671.84
2023-02-09,فاس - النرجس,9113059.84
2023-02-10,الدار البيضاء - المركز الرئيسي,5180395.14
2023-02-10,الرباط - أكدال,6067217.1
2023-02-10,مراكش - جليز,9336899.02
2023-02-10,طنجة - وسط المدينة,6815803.93
2023-02-10,فاس - النرجس,9074317.57
2023-02-11,الدار البيضاء - المركز الرئيسي,12461498.98
2023-02-11,الرباط - أكدال,5929234.06
2023-02-11,مراكش - جليز,6689355.75
2023-02-11,طنجة - وسط المدينة,9054696.92
2023-02-11,فاس - النرجس,12771288.69
2023-02-12,الدار البيضاء - المركز الرئيسي,7548544.52
2023-02-12,الرباط - أكدال,4547895.3
2023-02-12,مراكش - جليز,7584023.94
2023-02-12,طنجة - وسط المدينة,11424534.17
2023-02-12,فاس - النرجس,6274943.09
2023-02-13,الدار البيضاء - المركز الرئيسي,5748731.02
2023-02-13,الرباط - أكدال,8405020.95
2023-02-13,مراكش - جليز,6714223.74
2023-02-13,طنجة - وسط المدينة,9190953.92
2023-02-13,فاس - النرجس,11762813.78
2023-02-14,الدار البيضاء - المركز الرئيسي,4737089.79
2023-02-14,الرباط - أكدال,11097258.29
2023-02-14,مراكش - جليز,8278340.1
2023-02-14,طنجة - وسط المدينة,9409039.22
2023-02-14,فاس - النرجس,11492316.36
2023-02-15,الدار البيضاء - المركز الرئيسي,4463693.56
2023-02-15,الرباط - أكدال,8188592.87
2023-02-15,مراكش - جليز,8495020.63
2023-02-15,طنجة - وسط المدينة,9005920.65
2023-02-15,فاس - النرجس,8306865.87
2023-02-16,الدار البيضاء - المركز الرئيسي,8615646.19
2023-02-16,الرباط - أكدال,9057925.43
2023-02-16,مراكش - جليز,7597516.27
2023-02-16,طنجة - وسط المدينة,9525651.29
2023-02-16,فاس - النرجس,9855073.59
2023-02-17,الدار البيضاء - المركز الرئيسي,7389984.18
2023-02-17,الرباط - أكدال,4729989.25
2023-02-17,مراكش - جليز,4008945.54
2023-02-17,طنجة - وسط المدينة,4088246.8
2023-02-17,فاس - النرجس,4545901.41
2023-02-18,الدار البيضاء - المركز الرئيسي,4617665.98
2023-02-18,الرباط - أكدال,10860976.11
2023-02-18,مراكش - جليز,11654074.67
2023-02-18,طنجة - وسط المدينة,5676402.5
2023-02-18,فاس - النرجس,7992583.32
2023-02-19,الدار البيضاء - المركز الرئيسي,5572771.27
2023-02-19,الرباط - أكدال,4089457.22
2023-02-19,مراكش - جليز,8499432.63
2023-02-19,طنجة - وسط المدينة,6772879.17
2023-02-19,فاس - النرجس,8617891.01
2023-02-20,الدار البيضاء - المركز الرئيسي,9906483.72
2023-02-20,الرباط - أكدال,12637416.79
2023-02-20,مراكش - جليز,9500581.1
2023-02-20,طنجة - وسط المدينة,11963009.48
2023-02-20,فاس - النرجس,9327442.33
2023-02-21,الدار البيضاء - المركز الرئيسي,10207381.77
2023-02-21,الرباط - أكدال,5285459.84
2023-02-21,مراكش - جليز,4269121.17
2023-02-21,طنجة - وسط المدينة,9088660.22
2023-02-21,فاس - النرجس,6839166.69
2023-02-22,الدار البيضاء - المركز الرئيسي,9041444.59
2023-02-22,الرباط - أكدال,5165484.39
2023-02-22,مراكش - جليز,11419614.06
2023-02-22,طنجة - وسط المدينة,11751811.43
2023-02-22,فاس - النرجس,12619852.54
2023-02-23,الدار البيضاء - المركز الرئيسي,4705328.51
2023-02-23,الرباط - أكدال,7652867.63
2023-02-23,مراكش - جليز,5973142.42
2023-02-23,طنجة - وسط المدينة,4673627.69
2023-02-23,فاس - النرجس,9483273.96
2023-02-24,الدار البيضاء - المركز الرئيسي,12086351.6
2023-02-24,الرباط - أكدال,6123360.19
2023-02-24,مراكش - جليز,4273245.55
2023-02-24,طنجة - وسط المدينة,11977012.56
2023-02-24,فاس - النرجس,7965236.26
2023-02-25,الدار البيضاء - المركز الرئيسي,5851268.14
2023-02-25,الرباط - أكدال,11047297.61
2023-02-25,مراكش - جليز,7323390.07
2023-02-25,طنجة - وسط المدينة,8061305.5
2023-02-25,فاس - النرجس,4850587.82
2023-02-26,الدار البيضاء - المركز الرئيسي,4589828.73
2023-02-26,الرباط - أكدال,12355122.94
2023-02-26,مراكش - جليز,10663771.53
2023-02-26,طنجة - وسط المدينة,9215310.9
2023-02-26,فاس - النرجس,9112878.3
2023-02-27,الدار البيضاء - المركز الرئيسي,9111914.3
2023-02-27,الرباط - أكدال,10440605.63
2023-02-27,مراكش - جليز,7546442.05
2023-02-27,طنجة - وسط المدينة,5163362.51
2023-02-27,فاس - النرجس,7469825.86
2023-02-28,الدار البيضاء - المركز الرئيسي,9725180.56
2023-02-28,الرباط - أكدال,6037195.02
2023-02-28,مراكش - جليز,11611963.33
2023-02-28,طنجة - وسط المدينة,6993434.2
2023-02-28,فاس - النرجس,11169170.16
2023-03-01,الدار البيضاء - المركز الرئيسي,4178038.34
2023-03-01,الرباط - أكدال,12057040.18
2023-03-01,مراكش - جليز,12419740.59
2023-03-01,طنجة - وسط المدينة,10747299.98
2023-03-01,فاس - النرجس,9188840.12
2023-03-02,الدار البيضاء - المركز الرئيسي,11854653.05
2023-03-02,الرباط - أكدال,8654595.38
2023-03-02,مراكش - جليز,8317144.04
2023-03-02,طنجة - وسط المدينة,10448330.28
2023-03-02,فاس - النرجس,6174076.51
2023-03-03,الدار البيضاء - المركز الرئيسي,10010983.73
2023-03-03,الرباط - أكدال,10862796.28
2023-03-03,مراكش - جليز,12693011.48
2023-03-03,طنجة - وسط المدينة,10815278.39
2023-03-03,فاس - النرجس,11880025.42
2023-03-04,الدار البيضاء - المركز الرئيسي,11160557.56
2023-03-04,الرباط - أكدال,10692738.46
2023-03-04,مراكش - جليز,11743067.47
2023-03-04,طنجة - وسط المدينة,5050103.17
2023-03-04,فاس - النرجس,6558343.15
2023-03-05,الدار البيضاء - المركز الرئيسي,4478308.32
2023-03-05,الرباط - أكدال,7986641.96
2023-03-05,مراكش - جليز,7253447.33
2023-03-05,طنجة - وسط المدينة,4497381.72
2023-03-05,فاس - النرجس,10350250.55
2023-03-06,الدار البيضاء - المركز الرئيسي,7653594.35
2023-03-06,الرباط - أكدال,8980643.18
2023-03-06,مراكش - جليز,8789462.81
2023-03-06,طنجة - وسط المدينة,4845394.59
2023-03-06,فاس - النرجس,11765831.38
2023-03-07,الدار البيضاء - المركز الرئيسي,5131712.26
2023-03-07,الرباط - أكدال,5355724.81
2023-03-07,مراكش - جليز,11105017.06
2023-03-07,طنجة - وسط المدينة,11187312.59
2023-03-07,فاس - النرجس,8995789.62
2023-03-08,الدار البيضاء - المركز الرئيسي,4540227.25
2023-03-08,الرباط - أكدال,6956156.14
2023-03-08,مراكش - جليز,12780773.42
2023-03-08,طنجة - وسط المدينة,10231335.6
2023-03-08,فاس - النرجس,8234726.36
2023-03-09,الدار البيضاء - المركز الرئيسي,8077999.79
2023-03-09,الرباط - أكدال,4843226.44
2023-03-09,مراكش - جليز,9314344.55
2023-03-09,طنجة - وسط المدينة,5932267.34
2023-03-09,فاس - النرجس,8539893.03
2023-03-10,الدار البيضاء - المركز الرئيسي,6150832.89
2023-03-10,الرباط - أكدال,9946758.8
2023-03-10,مراكش - جليز,4168560.32
2023-03-10,طنجة - وسط المدينة,11053420.36
2023-03-10,فاس - النرجس,7271045.52
2023-03-11,الدار البيضاء - المركز الرئيسي,6382987.16
2023-03-11,الرباط - أكدال,8193300.32
2023-03-11,مراكش - جليز,7794145.92
2023-03-11,طنجة - وسط المدينة,5342651.05
2023-03-11,فاس - النرجس,4465623.48
2023-03-12,الدار البيضاء - المركز الرئيسي,4518575.8
2023-03-12,الرباط - أكدال,6575264.79
2023-03-12,مراكش - جليز,6231161.3
2023-03-12,طنجة - وسط المدينة,11696553.07
2023-03-12,فاس - النرجس,7978566.63
2023-03-13,الدار البيضاء - المركز الرئيسي,6433951.08
2023-03-13,الرباط - أكدال,12498451.96
2023-03-13,مراكش - جليز,5293104.59
2023-03-13,طنجة - وسط المدينة,7205065.86
2023-03-13,فاس - النرجس,7339968.06
2023-03-14,الدار البيضاء - المركز الرئيسي,6085049.05
2023-03-14,الرباط - أكدال,11459877.51
2023-03-14,مراكش - جليز,9554519.95
2023-03-14,طنجة - وسط المدينة,12922208.49
2023-03-14,فاس - النرجس,9975125.16
2023-03-15,الدار البيضاء - المركز الرئيسي,11943420.55
2023-03-15,الرباط - أكدال,6321871.17
2023-03-15,مراكش - جليز,9174191.95
2023-03-15,طنجة - وسط المدينة,6606514.72
2023-03-15,فاس - النرجس,9595851.17
2023-03-16,الدار البيضاء - المركز الرئيسي,4611520.83
2023-03-16,الرباط - أكدال,5124646.43
2023-03-16,مراكش - جليز,12301417.79
2023-03-16,طنجة - وسط المدينة,10311020.84
2023-03-16,فاس - النرجس,6334338.66
2023-03-17,الدار البيضاء - المركز الرئيسي,8050836.84
2023-03-17,الرباط - أكدال,11009062.32
2023-03-17,مراكش - جليز,6248069.72
2023-03-17,طنجة - وسط المدينة,11854376.87
2023-03-17,فاس - النرجس,10357064.16
2023-03-18,الدار البيضاء - المركز الرئيسي,12208466.61
2023-03-18,الرباط - أكدال,5143507.55
2023-03-18,مراكش - جليز,8924584.59
2023-03-18,طنجة - وسط المدينة,4480219.14
2023-03-18,فاس - النرجس,7628560.28
2023-03-19,الدار البيضاء - المركز الرئيسي,7940594.61
2023-03-19,الرباط - أكدال,7465985.32
2023-03-19,مراكش - جليز,9055904.82
2023-03-19,طنجة - وسط المدينة,8694956.98
2023-03-19,فاس - النرجس,6421613.99
2023-03-20,الدار البيضاء - المركز الرئيسي,5893056.54
2023-03-20,الرباط - أكدال,4012836.66
2023-03-20,مراكش - جليز,12046531.83
2023-03-20,طنجة - وسط المدينة,4541152.57
2023-03-20,فاس - النرجس,8308485.03
2023-03-21,الدار البيضاء - المركز الرئيسي,8900413.64
2023-03-21,الرباط - أكدال,8360440.29
2023-03-21,مراكش - جليز,10435286.44
2023-03-21,طنجة - وسط المدينة,8627470.88
2023-03-21,فاس - النرجس,8283148.42
2023-03-22,الدار البيضاء - المركز الرئيسي,10480345.13
2023-03-22,الرباط - أكدال,12252255.12
2023-03-22,مراكش - جليز,10975267.67
2023-03-22,طنجة - وسط المدينة,6115793.56
2023-03-22,فاس - النرجس,8461994.34
2023-03-23,الدار البيضاء - المركز الرئيسي,12113597.99
2023-03-23,الرباط - أكدال,12395250.49
2023-03-23,مراكش - جليز,11884941.36
2023-03-23,طنجة - وسط المدينة,10398029.2
2023-03-23,فاس - النرجس,12446631.43
2023-03-24,الدار البيضاء - المركز الرئيسي,7533420.4
2023-03-24,الرباط - أكدال,5157460.39
2023-03-24,مراكش - جليز,11104209.96
2023-03-24,طنجة - وسط المدينة,4836841.26
2023-03-24,فاس - النرجس,12778437.36
2023-03-25,الدار البيضاء - المركز الرئيسي,12270269.88
2023-03-25,الرباط - أكدال,11580144.34
2023-03-25,مراكش - جليز,10539789.73
2023-03-25,طنجة - وسط المدينة,10921486.43
2023-03-25,فاس - النرجس,7029467.34
2023-03-26,الدار البيضاء - المركز الرئيسي,10751482.57
2023-03-26,الرباط - أكدال,9076290.97
2023-03-26,مراكش - جليز,12114782.78
2023-03-26,طنجة - وسط المدينة,10632114.81
2023-03-26,فاس - النرجس,4286933.38
2023-03-27,الدار البيضاء - المركز الرئيسي,5162251.52
2023-03-27,الرباط - أكدال,8675657.74
2023-03-27,مراكش - جليز,4149400.88
2023-03-27,طنجة - وسط المدينة,4072193.37
2023-03-27,فاس - النرجس,5791301.31
2023-03-28,الدار البيضاء - المركز الرئيسي,11364404.89
2023-03-28,الرباط - أكدال,12551231.9
2023-03-28,مراكش - جليز,6607085.66
2023-03-28,طنجة - وسط المدينة,10818684.47
2023-03-28,فاس - النرجس,8017421.33
2023-03-29,الدار البيضاء - المركز الرئيسي,4320162.47
2023-03-29,الرباط - أكدال,11628432.92
2023-03-29,مراكش - جليز,11292919.78
2023-03-29,طنجة - وسط المدينة,12433881.24
2023-03-29,فاس - النرجس,7337060.69
2023-03-30,الدار البيضاء - المركز الرئيسي,7099065.42
2023-03-30,الرباط - أكدال,11148907.21
2023-03-30,مراكش - جليز,12762298.28
2023-03-30,طنجة - وسط المدينة,12116670.68
2023-03-30,فاس - النرجس,7092513.71
2023-03-31,الدار البيضاء - المركز الرئيسي,11646338.07
2023-03-31,الرباط - أكدال,4194147.63
2023-03-31,مراكش - جليز,9207728.51
2023-03-31,طنجة - وسط المدينة,7869112.27
2023-03-31,فاس - النرجس,8968825.34
2023-04-01,الدار البيضاء - المركز الرئيسي,10490285.49
2023-04-01,الرباط - أكدال,9342029.78
2023-04-01,مراكش - جليز,11871897.44
2023-04-01,طنجة - وسط المدينة,11272247.77
2023-04-01,فاس - النرجس,10830075.12
2023-04-02,الدار البيضاء - المركز الرئيسي,5048505.57
2023-04-02,الرباط - أكدال,9863356.92
2023-04-02,مراكش - جليز,6912857.51
2023-04-02,طنجة - وسط المدينة,4540502.78
2023-04-02,فاس - النرجس,5363638.3
2023-04-03,الدار البيضاء - المركز الرئيسي,12274393.66
2023-04-03,الرباط - أكدال,9918248.07
2023-04-03,مراكش - جليز,5488235.36
2023-04-03,طنجة - وسط المدينة,11805722.54
2023-04-03,فاس - النرجس,12740874.92
2023-04-04,الدار البيضاء - المركز الرئيسي,8637821.74
2023-04-04,الرباط - أكدال,12856610.1
2023-04-04,مراكش - جليز,10429659.39
2023-04-04,طنجة - وسط المدينة,9249779.28
2023-04-04,فاس - النرجس,6934877.49
2023-04-05,الدار البيضاء - المركز الرئيسي,11585478.71
2023-04-05,الرباط - أكدال,9636741.64
2023-04-05,مراكش - جليز,11515691.38
2023-04-05,طنجة - وسط المدينة,6838089.31
2023-04-05,فاس - النرجس,4360873.21
2023-04-06,الدار البيضاء - المركز الرئيسي,10597646.64
2023-04-06,الرباط - أكدال,10425157.95
2023-04-06,مراكش - جليز,5226711.16
2023-04-06,طنجة - وسط المدينة,8121994.2
2023-04-06,فاس - النرجس,5565324.97
2023-04-07,الدار البيضاء - المركز الرئيسي,7870825.36
2023-04-07,الرباط - أكدال,5572472.69
2023-04-07,مراكش - جليز,5954370.56
2023-04-07,طنجة - وسط المدينة,10464919.8
2023-04-07,فاس - النرجس,9720463.29
2023-04-08,الدار البيضاء - المركز الرئيسي,4177375.78
2023-04-08,الرباط - أكدال,8874622.07
2023-04-08,مراكش - جليز,6785144.11
2023-04-08,طنجة - وسط المدينة,4845503.21
2023-04-08,فاس - النرجس,8604848.03
2023-04-09,الدار البيضاء - المركز الرئيسي,11344159.77
2023-04-09,الرباط - أكدال,12469584.96
2023-04-09,مراكش - جليز,10370645.36
2023-04-09,طنجة - وسط المدينة,8692966.06
2023-04-09,فاس - النرجس,7540795.3
2023-04-10,الدار البيضاء - المركز الرئيسي,7342966.9
2023-04-10,الرباط - أكدال,10802493.32
2023-04-10,مراكش - جليز,4673029.36
2023-04-10,طنجة - وسط المدينة,8229681.76
2023-04-10,فاس - النرجس,9808341.82
2023-04-11,الدار البيضاء - المركز الرئيسي,9433665.56
2023-04-11,الرباط - أكدال,12216747.8
2023-04-11,مراكش - جليز,9950611.25
2023-04-11,طنجة - وسط المدينة,11616904.33
2023-04-11,فاس - النرجس,9993373.88
2023-04-12,الدار البيضاء - المركز الرئيسي,5155230.01
2023-04-12,الرباط - أكدال,5516824.18
2023-04-12,مراكش - جليز,8307125.76
2023-04-12,طنجة - وسط المدينة,11055639.07
2023-04-12,فاس - النرجس,10137262.94
2023-04-13,الدار البيضاء - المركز الرئيسي,7909840.32
2023-04-13,الرباط - أكدال,7809500.5
2023-04-13,مراكش - جليز,11007264.6
2023-04-13,طنجة - وسط المدينة,6950214.4
2023-04-13,فاس - النرجس,4337845.35
2023-04-14,الدار البيضاء - المركز الرئيسي,8182841.48
2023-04-14,الرباط - أكدال,4762154.64
2023-04-14,مراكش - جليز,12679743.68
2023-04-14,طنجة - وسط المدينة,12790958.56
2023-04-14,فاس - النرجس,10193867.41
2023-04-15,الدار البيضاء - المركز الرئيسي,8063481.98
2023-04-15,الرباط - أكدال,10469589.31
2023-04-15,مراكش - جليز,12995883.34
2023-04-15,طنجة - وسط المدينة,12861121.89
2023-04-15,فاس - النرجس,11452641.96
2023-04-16,الدار البيضاء - المركز الرئيسي,6556749.78
2023-04-16,الرباط - أكدال,8838405.67
2023-04-16,مراكش - جليز,9174532.19
2023-04-16,طنجة - وسط المدينة,4599366.73
2023-04-16,فاس - النرجس,10797484.89
2023-04-17,الدار البيضاء - المركز الرئيسي,5411264.2
2023-04-17,الرباط - أكدال,12103372.41
2023-04-17,مراكش - جليز,8577826.11
2023-04-17,طنجة - وسط المدينة,9278221.87
2023-04-17,فاس - النرجس,4229081.5
2023-04-18,الدار البيضاء - المركز الرئيسي,9412012.86
2023-04-18,الرباط - أكدال,5405362.82
2023-04-18,مراكش - جليز,8335531.54
2023-04-18,طنجة - وسط المدينة,12375802.54
2023-04-18,فاس - النرجس,12909810.44
2023-04-19,الدار البيضاء - المركز الرئيسي,7772751.91
2023-04-19,الرباط - أكدال,12586145.61
2023-04-19,مراكش - جليز,6115840.44
2023-04-19,طنجة - وسط المدينة,7860088.66
2023-04-19,فاس - النرجس,11290025.75
2023-04-20,الدار البيضاء - المركز الرئيسي,6015413.83
2023-04-20,الرباط - أكدال,12097241.1
2023-04-20,مراكش - جليز,8903793.98
2023-04-20,طنجة - وسط المدينة,7848414.44
2023-04-20,فاس - النرجس,9812281.89
2023-04-21,الدار البيضاء - المركز الرئيسي,8115352.5
2023-04-21,الرباط - أكدال,10092266.56
2023-04-21,مراكش - جليز,11823749.88
2023-04-21,طنجة - وسط المدينة,5639699.61
2023-04-21,فاس - النرجس,4175578.71
2023-04-22,الدار البيضاء - المركز الرئيسي,7024388.94
2023-04-22,الرباط - أكدال,10002224.02
